Price	Power	Torque	ParX	Mass	Shaft_height	Shaft_diameter	K	Series
5662	0,09	52	2,6	56	1500	9	0,289490174	21352936
5828	0,25	65	6,1	63	1500	14	0,364913563	20837049
6878	0,18	17,99524272	4,4	56	1500	9	0,182256313	16300394
7113	0,37	62	15	56	680	0	0,330154907	16213100
7554	0,09	62	3,5	56	1500	9	0,326167018	16300424
7554	0,12	62	3,76	56	1500	9	0,327452232	16300622
7560	1,1	70	9,4	94	2850	12	0,457952454	21010306
7891	0,37	70	5,9	63	1500	11	0,375951811	16300296
8077	0,25	70	5,5	63	1500	11	0,372948647	16300293
8290	0,25	59	5,28	71	1400	11	0,340317089	1LF7070-4AB
8337	0,25	59	5	63	1500	11	0,334240789	16300616
8530	0,12	58	4,14	63	1415	11	0,32433707	1LF7060-4AB
9050	0,18	58	4,89	63	1385	11	0,327019934	1LF7063-4AB
9178	0,55	51	10,2	71	1000	19	0,343360999	20023066
10022	0,37	51	8	71	1000	14	0,322185044	16300321
10129	0,75	51	9	71	1500	14	0,341734308	16300354
10910	0,37	51	6,1	71	1500	14	0,326768719	16300362
11220	2,2	51	13	90	2800	24	0,443712659	16834249
11286	0,55	51	10	71	1000	14	0,331365991	16300516
11410	0,37	64	7,53	71	1400	14	0,373131064	1LF7073-4AB
11498	1,5	78	14	80	1500	22	0,486131473	20022826
11534	0,37	78	6,8	71	1000	14	0,409087802	16300302
11625	0,55	78	10	71	1000	14	0,422276922	16300517
12101	0,25	78	8,5	71	750	14	0,407633965	16300329
12900	0,55	69	8,8	80	1415	14	0,405279894	1LF7080-4AB
13985	0,75	69	9,8	80	1500	19	0,42458362	16300340
14082	1,1	69	16	80	1500	19	0,450154904	16300501
14412	0,37	68	9,9	63	1500	14	0,389374429	17365188
14599	0,18	68	9,87	80	750	19	0,397136677	16300338
14714	0,75	68	9,6	80	1500	19	0,420548519	16300334
14714	0,55	68	10,9	80	1000	19	0,411182246	16300507
14760	0,75	71	10,1	80	1405	19	0,430243115	1LF7083-4AB
15655	5,5	86	54	132	1440	38	0,784804584	19640772
15702	0,75	86	10,5	80	1000	19	0,473231988	16300510
15987	1,5	86	20,5	80	1500	19	0,527982789	16300492
16048	1,5	86	20,5	80	1500	19	0,527982789	16300490
16284	0,37	65	15,6	71	1000	19	0,406036113	17365440
16956	0,55	71	17,2	71	1500	19	0,44501338	17365428
17190	0,75	72,1	17,5	71	1500	19	0,452497714	17364282
17780	1,1	74	12,7	90	1420	19	0,463377809	1LF7090-4AB
19274	0,37	74	13,13	90	750	24	0,451353351	16300606
20692	0,75	74	28	90	750	24	0,506300456	16300337
20814	1,1	72,9	21,2	80	1000	22	0,476521469	17364432
20898	2,2	72,9	17,8	90	1500	24	0,505066349	16300464
21174	4	92	31,3	100	1430	28	0,656166162	15851579
21380	1,5	77	15,9	90	1430	28	0,510331669	1LF7096-4AB
22223	1,1	73	33	90	750	24	0,524496497	21354292
24060	2,2	73	25,7	100	1395	24	0,538653712	1LF7106-4AB
24699	1,5	73,5	49	100	750	28	0,603399746	21351148
27991	0,75	66	17	100	750	28	0,460842703	21353158
29312	1,1	72	19,5	100	750	28	0,494257886	19634136
34680	3	76,9	53	112	750	32	0,669099362	19635042
36336	5,5	84,1	57	112	1500	32	0,757829173	19634544
39311	5,5	85,7	32,5	112	1500	28	0,672321392	21351454
41514	3	79	30,8	132	1000	38	0,639394003	21350368
44055	3	77	34	132	750	38	0,637883345	21350374
46541	7,5	86	82	132	1500	38	0,907425312	19634700
53996	5,5	83	44,7	132	1000	38	0,734021683	21351964
57721	11	87,1	94	132	1500	38	0,999834773	19634838
59077	9,2	87,5	53	132	1500	38	0,839229116	21349846
61783	11	87,1	95	132	1500	38	1,003174916	19634178
74620	5	75	110	132	925	35	0,90981451	15979657
7680	0,18	63	5	63	2800	35	0,42952396	ML631-2
8170	0,25	65	5,5	63	2800	35	0,438900654	ML632-2
9020	0,37	67	7	71	2800	35	0,459639169	ML711-2
9640	0,55	70	8	71	2800	35	0,475581188	ML712-2
11520	0,75	72	8,5	80	2800	35	0,495006846	ML801-2
12890	1,1	75	9,5	80	2800	35	0,5133106	ML802-2
16000	1,5	76	12,5	90	2800	35	0,541413937	ML90S-2
19120	2,2	77	14	90	2800	35	0,559516016	ML90L-2
26520	3	79	20,5	100	2800	35	0,608233951	ML100L-2
6990	0,12	53	5	63	1400	35	0,364415839	ML631-4
7570	0,18	54	5,5	63	1400	35	0,370286535	ML632-4
9230	0,25	62	6,9	71	1400	35	0,410198837	ML711-4
9880	0,37	65	8,1	71	1400	35	0,425975331	ML712-4
11920	0,55	68	8,9	80	1400	35	0,449492252	ML801-4
12980	0,75	71	9,6	80	1400	35	0,464710079	ML802-4
16460	1,1	73	13	90	1400	35	0,496821917	ML90S-4
14899,2	0,75	69,5	9	71	2797	35	0,479950728	M2BAX71MB
15744	1,1	74,1	10	71	2811	35	0,503947835	M2BAX71MC
17510,4	1,5	77,4	14	80	2843	35	0,542919216	M2BAX80MC
18355,2	2,2	79,6	15	80	2840	35	0,563326129	M2BAX80MD
20582,4	3	81,3	21	90	2887	35	0,610391286	M2BAX90SB
23731,2	4	83,2	24	90	2894	35	0,640854732	M2BAX90SLA
27110,4	5,5	84,6	32	100	2919	35	0,702833929	M2BAX100LKA
31180,8	7,5	85,8	36	112	2916	35	0,758945104	M2BAX112MB
38553,6	11	87	56	132	2921	35	0,896839342	M2BAX132SMA
45580,8	15	88,1	60	132	2916	35	0,969364637	M2BAX132SME
64281,6	18,5	89,4	103	160	2931	35	1,191964528	M2BAX160MLA
80102,4	22	90,3	116	160	2938	35	1,287193737	M2BAX160MLB
94080	30	90,9	124	160	2939	35	1,427097471	M2BAX160MLC
104294,4	37	91,3	151	180	2943	35	1,634281158	M2BAX180MLA
150681,6	45	92	198	200	2957	35	1,923388992	M2BAX200MLA
188390,4	55	92,5	229	200	2951	35	2,167411418	M2BAX200MLB
211430,4	75	92,9	275	225	2962	35	2,62339354	M2BAX225SMA
265420,8	90	94,3	335	250	2965	35	3,059867059	M2BAX250SMA
346291,2	200	93,8	546	280	2975	35	5,318830468	M2BAX280SMB
398284,8	110	94,1	570	280	2976	35	4,149695436	M2BAX280SMC
525235,2	132	94,3	750	315	2981	35	5,089396125	M2BAX315MLA
606336	160	94,6	810	315	2978	35	5,679740964	M2BAX315SMB
722918,4	250	94,8	900	315	2981	35	7,231423312	M2BAX315SMC
866595,84	200	95	1020	315	2979	35	6,938242176	M2BAX315SMD
1102310,4	250	95	1310	355	2983	35	8,638234461	M2BAX355SMA
